key,來源檔名,打者/來源,舊act,舊tier,舊片,新act,新tier,新start,新end,增益,決定,備註
不要,不要,未辨識,0.39,poor,0597_不要.json,0.95,ok,0.357,1.507,0.56,收,
他,他:她:它,SignTube手語天地,0.52,poor,moc_G2D1P1.json,0.97,ok,1.18,4.212,0.45,收,
台東,台東,未辨識,0.2,severe,pn_0248_台東.json,0.61,ok,0.292,3.597,0.41,收,
坐車,坐車:搭車:上車,未辨識,0.53,poor,moc_G3C39_R.json,0.82,ok,1.567,5.977,0.3,收,
女兒,女兒,SignTube手語天地,0.66,ok,twtsl2_女兒.json,0.85,ok,0.583,3.064,0.19,收,
好,好,未辨識,0.5,poor,0901_好_B.json,1.0,ok,0.406,3.166,0.5,收,
媽媽,媽媽,SignTube手語天地,0.64,ok,moc_G4D1P1.json,0.9,ok,0.683,2.744,0.26,收,
很,很:非常:最:濃,未辨識,0.09,severe,moc_G2D1P1.json,0.99,ok,0.517,3.767,0.91,收,
感謝,謝謝:謝:感謝:致謝,未辨識,,,,0.87,ok,0.16,2.851,,別名改指→謝謝,
招待,服務:招待:寵:體貼,未辨識,,,,0.86,ok,0.415,3.813,,別名改指→服務,
晚上,晚上:晚:夜:夜晚,未辨識,0.27,severe,0704_夜晚_A.json,0.84,ok,2.0,3.7,0.57,收,
服務,服務:招待:寵:體貼,未辨識,0.49,poor,1884_服務_S.json,0.86,ok,0.415,3.813,0.37,收,
檢查,檢查,未辨識,0.2,severe,moc_G2D1P1.json,0.95,ok,0.374,3.347,0.75,收,
為什麼,為什麼,未辨識,0.21,severe,moc_G2D12P1.json,0.93,ok,0.084,4.699,0.72,收,
爸爸,爸爸,SignTube手語天地,0.0,severe,moc_G4D11P1.json,0.88,ok,1.173,3.071,0.88,收,
看,看:看見,未辨識,0.33,poor,1232_看.json,1.0,ok,2.845,5.578,0.67,收,
等,等:等一等,未辨識,0.41,poor,0932_等_B.json,1.0,ok,2.583,5.422,0.59,收,
菜,菜:草,未辨識,0.47,poor,2363_菜.json,0.94,ok,0.75,4.02,0.47,收,
謝謝,謝謝:謝:感謝:致謝,未辨識,0.38,poor,2196_感謝_A.json,0.87,ok,0.16,2.851,0.49,收,
身體,身體,未辨識,0.39,poor,0227_身體_A.json,0.82,ok,2.347,4.605,0.43,收,
非常,很:非常:最:濃,未辨識,,,,0.99,ok,0.517,3.767,,別名改指→很,
上車,,,,,,,,,,,別名不改指,現用 0.96 ok
兒子,兒子,SignTube手語天地,1.0,ok,moc_G4D6P1.json,0.81,ok,0.04,2.158,-0.19,不換（舊片較好）,
夜,,,,,,,,,,,別名不改指,不在 gloss_master，且可能是片中第二個動作
夜晚,,,,,,,,,,,別名不改指,可能是片中第二個動作，未確認
她,,,,,,,,,,,別名不改指,現用 0.93 ok，增益<0.05
它,,,,,,,,,,,別名不改指,現用 1.00 ok
寵,,,,,,,,,,,別名不改指,庫裡無此鍵且不在 gloss_master
搭車,,,,,,,,,,,別名不改指,現用 0.83 ok
晚,,,,,,,,,,,別名不改指,現用 0.90 ok
最,,,,,,,,,,,別名不改指,語義有疑慮（最≠很），待人工判定
濃,,,,,,,,,,,別名不改指,usage 0，且現用片本身就對不上（越來越多）
看見,,,,,,,,,,,別名不改指,現用 0.92 ok，增益 0.08 但手勢同一性未確認
等一等,,,,,,,,,,,別名不改指,同上
致謝,,,,,,,,,,,別名不改指,不在 gloss_master
草,,,,,,,,,,,別名不改指,目視確認是不同手勢（現用草＝雙手張開往外；新片＝彎指碰臉頰＝菜）
謝,,,,,,,,,,,別名不改指,是姓氏片 fn_0332_謝，不可蓋
體貼,,,,,,,,,,,別名不改指,同上
