key,來源檔名,舊act,舊tier,舊片,新act,新tier,新start,新end,增益,決定,備註
不喜歡,不喜歡:沒興趣,0.46,poor,0596_不喜歡_S.json,0.99,ok,0.35,3.433,0.53,收,
中壢,中壢,0.48,poor,pn_0128_中壢1.json,0.99,ok,0.512,3.339,0.51,收,
南投,南投,0.44,poor,pn_0529_南投縣1.json,0.86,ok,0.222,3.706,0.42,收,
叉子,叉子,0.5,poor,3560_叉子.json,0.98,ok,0.231,5.066,0.48,收,
同意,同意:批准:答應:贊成:通過:承認:承諾:允許:願意,0.14,severe,moe_13_0258.json,0.97,ok,0.629,3.991,0.83,收,
哥哥,哥哥,0.17,severe,moc_G2D9P1.json,0.89,ok,0.393,3.896,0.72,收,
哭,哭,0.19,severe,moc_G3D2P2.json,0.92,ok,0.101,4.53,0.73,收,
嘉義_A(地名),嘉義A,0.09,severe,0367_嘉義_A(地名).json,0.9,ok,0.149,3.194,0.81,收,
嘉義_B(地名),嘉義B,0.25,severe,0368_嘉義_B(地名).json,0.88,ok,0.724,4.037,0.63,收,
困難,困難:難,0.38,poor,moc_G2D1P2.json,0.98,ok,0.484,3.774,0.6,收,
基隆,基隆,0.35,poor,pn_0639_基隆1.json,0.89,ok,0.138,3.296,0.54,收,
星期六,星期六,0.48,poor,1843_星期六.json,1.0,ok,0.436,3.078,0.52,收,
澎湖,澎湖,0.44,poor,1602_澎湖.json,0.91,ok,0.344,3.61,0.47,收,
特別,特別:高級,0.3,poor,2021_特別.json,0.99,ok,0.415,3.342,0.69,收,
痛,痛:疼:疼痛:酸痛,0.22,severe,moc_G2D2P3.json,1.0,ok,0.583,3.527,0.78,收,
真,真:真的:誠實:老實:實在:誠懇,0.27,severe,moc_G4D11P2.json,1.0,ok,0.239,2.673,0.73,收,
第一次,第一次,0.3,severe,moc_G4D11P2.json,1.0,ok,0.394,3.52,0.7,收,
筷子,筷子,0.28,severe,0384_筷子.json,0.97,ok,0.188,4.016,0.69,收,
美國,美國,0.41,poor,2331_美國_A.json,1.0,ok,1.612,2.448,0.59,收,
美麗,美麗:漂亮,0.19,severe,moc_G2D8P2.json,0.94,ok,0.038,3.539,0.75,收,
苗栗,苗栗,0.34,poor,1321_苗栗.json,0.9,ok,0.052,2.725,0.56,收,
金門,金門,0.58,poor,pn_0508_金門縣.json,0.88,ok,0.408,4.653,0.3,收,
雲林,雲林,0.47,poor,moc_G4D2P1.json,0.84,ok,0.259,4.099,0.37,收,
馬祖,馬祖,0.21,severe,pn_0623_馬祖.json,0.33,poor,1.169,5.797,0.12,升級收錄（仍 poor：馬＋祖父的拳頭手形抓不到）,
贊成,（別名←同意）,0.52,,,0.97,ok,,,0.45,別名改指→同意,
允許,（別名←同意）,0.33,,,0.97,ok,,,0.64,別名改指→同意,
漂亮,（別名←美麗）,0.51,,,0.94,ok,,,0.43,別名改指→美麗,
誠實,（別名←真）,0.06,,,1.0,ok,,,0.94,別名改指→真,
實在,（別名←真）,0.01,,,1.0,ok,,,0.99,別名改指→真,
疼,（別名←痛）,0.65,,,1.0,ok,,,0.35,別名改指→痛,
嘉義,（別名←嘉義_A(地名)）,0.38,,,0.9,ok,,,0.52,別名改指→嘉義_A(地名),
沒興趣,,,,,,,,,,別名不改指,庫中無此鍵且不在 gloss_master
酸痛,,,,,,,,,,別名不改指,同上
批准,,,,,,,,,,別名不改指,不在 gloss_master
承諾,,,,,,,,,,別名不改指,不在 gloss_master
誠懇,,,,,,,,,,別名不改指,不在 gloss_master
承認,,,,,,,,,,別名不改指,語義有疑慮（承認≠同意），現用片 0.00 另案處理
答應,,,,,,,,,,別名不改指,現用 0.65 ok
通過,,,,,,,,,,別名不改指,現用 1.00 ok
願意,,,,,,,,,,別名不改指,現用 0.98 ok
難,,,,,,,,,,別名不改指,現用 0.92 ok（usage 41）
高級,,,,,,,,,,別名不改指,現用 0.94 ok
真的,,,,,,,,,,別名不改指,現用 0.97 ok（usage 31）
老實,,,,,,,,,,別名不改指,現用 0.97 ok
疼痛,,,,,,,,,,別名不改指,現用 1.00 ok
