test_type,idx,chinese_input,chinese_original,expected_gloss,predicted_gloss,exact_match,precision,recall,f1,ger,edit_distance,error_type,oov_tokens,transform,needs_semantic_mapping,source,seconds
unseen,1,這裡景象特殊，他站在那看了好久,,這 風景 特殊 他 站立 欣賞 看 見 久,這 處++ 特殊 他 站 那 看久,0,0.4286,0.3333,0.375,0.6667,6,OOV/未知Gloss,看久,,,test_papers,4.9
unseen,2,當看見同學以自然手語溝通時，我感受到手語溝通的快樂,,看見 同學 自然手語 溝通 我 感覺 手語 溝通 快樂,看到 同學 自然 手語 溝通 我 覺得 快樂,0,0.625,0.5556,0.5882,0.6667,6,Gloss替換錯誤,,,,test_corpus,4.99
unseen,3,對不起,,對不起,對不起,1,1.0,1.0,1.0,0.0,0,正確,,,,test,5.01
unseen,4,這顆鳳梨好大,,這 鳳梨 大,這 鳳梨 大,1,1.0,1.0,1.0,0.0,0,正確,,,,test_papers,4.36
unseen,5,中秋連假剛好遇上兩個颱風,,中秋節 連假 遇 颱風 重複 時間 一樣,中秋 連假 剛好 颱風 兩個,0,0.4,0.2857,0.3333,0.7143,5,OOV/未知Gloss,中秋 剛好,,,test_corpus,4.94
unseen,6,如果這畫家之後還有辦展,,如果 這 以後 畫家 展覽 有,如果 這 畫家 以後 辦畫展 有,0,0.8333,0.8333,0.8333,0.5,3,OOV/未知Gloss,畫家 辦畫展,,,test_corpus,5.04
unseen,7,我們小朋友不懂什麼時間觀念,,習慣 我們 小朋友 時間 什麼 不知道,我們 小孩 時間 概念 不懂,0,0.4,0.3333,0.3636,0.6667,4,OOV/未知Gloss,概念,,,test_corpus,5.05
unseen,8,我的故事也激勵了學弟妹勇敢追夢,,我 故事 鼓勵 學弟妹 他們 勇敢 夢想 目標 追,我 故事 演講 鼓勵 他們 讀書 勇敢 去 夢想,0,0.6667,0.6667,0.6667,0.6667,6,Gloss替換錯誤,,,,test_corpus,5.57
unseen,9,我已經胖到穿不下這件褲子了,,我 胖 褲子 穿 不成,這 褲子 我 胖 穿上 不成,0,0.6667,0.8,0.7273,0.8,4,多餘Gloss,,,,test_papers,5.58
unseen,10,雖然和其他孩子一樣進入幼稚園，但因聽不見和其它小朋友互動少,,幼兒園 進入 讀書 一樣++ 但是 我 聽不見 講話 沒辦法 溝通 難,其他 孩子 一樣 進入 幼稚園 但是 聾人 障礙 玩 交流 少,0,0.1818,0.1818,0.1818,1.0,11,OOV/未知Gloss,幼稚園,,,test_corpus,6.33
